ffmpeg,d2a,bow,svm,0
ffmpeg,d2a,bow,lr,0
ffmpeg,d2a,bow,knn,0
ffmpeg,d2a,bow,rf,0
ffmpeg,d2a,bow,xgb,0
ffmpeg,d2a,bow,lgbm,0
ffmpeg,d2a,subwords,svm,0
ffmpeg,d2a,subwords,lr,0
ffmpeg,d2a,subwords,rf,0
ffmpeg,d2a,subwords,xgb,0
ffmpeg,d2a,subwords,lgbm,0
ffmpeg,d2a,word2vec,svm,0
ffmpeg,d2a,word2vec,lr,0
ffmpeg,d2a,word2vec,knn,0
ffmpeg,d2a,word2vec,rf,0
ffmpeg,d2a,word2vec,xgb,0
ffmpeg,d2a,word2vec,lgbm,0
ffmpeg,d2a,fasttext,svm,0
ffmpeg,d2a,fasttext,lr,0
ffmpeg,d2a,fasttext,knn,0
ffmpeg,d2a,fasttext,rf,0
ffmpeg,d2a,fasttext,xgb,0
ffmpeg,d2a,fasttext,lgbm,0
ffmpeg,d2a,doc2vec,svm,0
ffmpeg,d2a,doc2vec,lr,0
ffmpeg,d2a,doc2vec,knn,0
ffmpeg,d2a,doc2vec,rf,0
ffmpeg,d2a,doc2vec,xgb,0
ffmpeg,d2a,doc2vec,lgbm,0
ffmpeg,d2a,codebert,svm,0
ffmpeg,d2a,codebert,lr,0
ffmpeg,d2a,codebert,knn,0
ffmpeg,d2a,codebert,rf,0
ffmpeg,d2a,codebert,xgb,0
ffmpeg,d2a,codebert,lgbm,0
ffmpeg,both,bow,svm,0
ffmpeg,both,bow,lr,0
ffmpeg,both,bow,knn,0
ffmpeg,both,bow,rf,0
ffmpeg,both,bow,xgb,0
ffmpeg,both,bow,lgbm,0
ffmpeg,both,subwords,svm,0
ffmpeg,both,subwords,rf,0
ffmpeg,both,subwords,xgb,0
ffmpeg,both,subwords,lgbm,0
ffmpeg,both,word2vec,svm,0
ffmpeg,both,word2vec,lr,0
ffmpeg,both,word2vec,knn,0
ffmpeg,both,word2vec,rf,0
ffmpeg,both,word2vec,xgb,0
ffmpeg,both,word2vec,lgbm,0
ffmpeg,both,fasttext,svm,0
ffmpeg,both,fasttext,lr,0
ffmpeg,both,fasttext,rf,0
ffmpeg,both,fasttext,xgb,0
ffmpeg,both,fasttext,lgbm,0
ffmpeg,both,doc2vec,svm,0
ffmpeg,both,doc2vec,lr,0
ffmpeg,both,doc2vec,rf,0
ffmpeg,both,doc2vec,xgb,0
ffmpeg,both,doc2vec,lgbm,0
ffmpeg,both,codebert,svm,0
ffmpeg,both,codebert,lr,0
ffmpeg,both,codebert,knn,0
ffmpeg,both,codebert,rf,0
ffmpeg,both,codebert,xgb,0
ffmpeg,both,codebert,lgbm,0
ffmpeg,d2a,subwords,knn,0.0
ffmpeg,both,subwords,lr,0.0
ffmpeg,both,subwords,knn,0.0
ffmpeg,both,fasttext,knn,0.0
ffmpeg,both,doc2vec,knn,0.0